VERMEG  ;V00     ;SODCF027;Paramètre pour la même police                               ;00000000000000034508
VERMEG  ;V00     ;SODCS009;Nombre de Polices dans fichier XML INITIAL-FINANCIAL-STATE  ;00000000000000053100
VERMEG  ;V00     ;SODCF070;Polices ignorées (sans support)                             ;00000000000000019954
VERMEG  ;V00     ;SODCF071;Autres supports pour la Police                              ;00000000000000465691
VERMEG  ;V00     ;SODCC046;Nb d'enregistrements INITIAL FINANCIAL STATE                ;00000000000000497346
VERMEG  ;V00     ;SODCR014;Price non alimenté - rejeté                                 ;00000000000000000000
VERMEG  ;V00     ;SODCF072;INIT-F-S ignoré car absent POLICY                           ;00000000000000001490
VERMEG  ;V00     ;SODCA009;Price non alimenté                                          ;00000000000000000000
VERMEG  ;V00     ;SODCC045;Nb d'enregistrements GUARANTED RATE DETAIL                  ;00000000000000497346
VERMEG  ;V00     ;SODCF073;GUARATED ignoré car absent POLICY                           ;00000000000000001490
VERMEG  ;V00     ;SODCC022;Nombre enregistrements cible INVEST-C                       ;00000000000000035397
VERMEG  ;V00     ;SODCC023;Nombre enregistrements cible INVEST-S                       ;00000000000000000029
VERMEG  ;V00     ;SODCF038;Coverage ignoré / RISK                                      ;00000000000000033877
VERMEG  ;V00     ;SODCF036;XINVSTRD-ID déjà créé dans INVEST-S                         ;00000000000000033090
VERMEG  ;V00     ;SODCF037;XINVSTRD-ID non alimenté -> ignoré                          ;00000000000000000000
VERMEG  ;V00     ;SODCF096;XINVSTRD-ID alimenté par PC-LIGHT                           ;00000000000000002278
VERMEG  ;V00     ;SODCF066;création INVEST-C identique 1er avenant                     ;00000000000000002278
VERMEG  ;V00     ;SODCS003;Lectures XBENEIFIT                                          ;00000000000000116679
VERMEG  ;V00     ;SODCI005;Ecritures FWBFPL ( AVANCES )                                ;00000000000000000598
VERMEG  ;V00     ;SODCI004;Ecritures FWBFTED ( RACHATS )                               ;00000000000000108925
VERMEG  ;V00     ;SODCI006;Ecritures FWBFC ( SINISTRES )                               ;00000000000000005999
VERMEG  ;V00     ;SODCF003;ORIGIN-OID absent de XTENDDEF (RACHATS )                    ;00000000000000007754
VERMEG  ;V00     ;SODCF060;POLICY-LOAN CLOSED (STATUS-CODEID = 2 )                     ;00000000000000001157
VERMEG  ;V00     ;SODCF004;ORIGIN-OID absent de XPOLICYL ( AVANCES )                   ;00000000000000114924
VERMEG  ;V00     ;SODCF005;ORIGIN-OID absent de XCLAIM ( SINISTRES )                   ;00000000000000110680
VERMEG  ;V00     ;SODCC024;Nombre enregistrements cible POLIC-LN                       ;00000000000000000549
VERMEG  ;V00     ;SODCI003;écritures WBENFFIL                                          ;00000000000000000549
VERMEG  ;V00     ;SODCI001;FPP-PC-OID Appareillés WBFPL OK                             ;00000000000000000421
VERMEG  ;V00     ;SODCI002;FPP-PC-OID multi WBFPL-ENR                                  ;00000000000000000128
VERMEG  ;V00     ;SODCF002;FPP-PC-OID absent de WBFPL                                  ;00000000000000032577
VERMEG  ;V00     ;SODCI007;Ecritures WBENFFIL RACHATS                                  ;00000000000000000369
VERMEG  ;V00     ;SODCF007;FP-EP-OID absent de WBFTED (RACHATS)                        ;00000000000000035028
VERMEG  ;V00     ;SODCF050;Plusieurs Policy pour CLAIM (SINISTRES)                     ;00000000000000000000
VERMEG  ;V00     ;SODCF009;CLAIM-ID Absent de FPPOLICY                                 ;00000000000000005999
VERMEG  ;V00     ;SODCC025;Nombre enregistrements cible BENF-FIL                       ;00000000000000000918
VERMEG  ;V00     ;SODCC026;Nombre enregistrements cible PARAMTRS                       ;00000000000000032998
VERMEG  ;V00     ;SODCF063;Paramètre pour la même police                               ;00000000000000036276
VERMEG  ;V00     ;SODCC028;Nombre enregistrements cible POLIC-CF                       ;00000000000000573929
VERMEG  ;V00     ;SODCF046;CBLFIELW policy non sélectionnée                            ;00000000000002672091
VERMEG  ;V00     ;SODCF013;Avenant avec param dans XCFIELD                             ;00000000000000032998
VERMEG  ;V00     ;SODCF014;Plusieurs param XCFIELD / avenant                           ;00000000000000502082
VERMEG  ;V00     ;SODCF019;param XCFIELD / même police ignoré                          ;00000000000005076686
VERMEG  ;V00     ;SODCF062;CBLFIELW autre avenant même police                          ;00000000000000002399
